node_id,core
0,0
1,4
2,6
3,1
4,6
5,12
6,11
7,12
8,6
9,12
10,12
11,4
12,11
13,10
14,12
15,7
16,4
17,4
18,8
19,7
20,8
21,3
22,8
23,11
24,13
25,13
26,13
27,13
28,13
29,14
30,15
31,6
32,7
33,11
34,6
35,8
36,8
37,6
38,2
39,3
40,2
41,5
42,7
43,8
44,8
45,10
46,6
47,1
48,1
49,2
50,6
51,5
52,2
53,10
54,11
55,11
56,11
57,14
58,13
59,14
60,9
61,13
62,14
63,14
64,15
65,15
66,13
67,14
68,9
69,12
70,13
71,10
72,9
73,11
74,12
75,5
76,10
77,11
78,10
79,10
80,9
81,10
82,5
83,10
84,10
85,9
86,9
87,9
88,9
89,10
90,9
91,9
92,10
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,6
103,4
104,10
105,6
106,8
107,10
108,10
109,10
110,10
111,10
112,9
113,10
114,6
115,12
116,7
117,12
118,12
119,12
120,13
121,12
122,12
123,12
124,12
125,13
126,13
127,13
128,13
129,3
130,5
131,3
132,2
133,5
134,5
135,8
136,9
137,7
138,10
139,9
140,4
141,8
142,11
143,10
144,10
145,11
146,4
147,13
148,13
149,9
150,5
151,10
152,13
153,11
154,10
155,9
156,7
157,13
158,11
159,10
160,12
161,13
162,7
163,13
164,10
165,10
166,10
167,10
168,7
169,10
170,10
171,15
172,14
173,15
174,15
175,15
176,15
177,12
178,15
179,15
180,15
181,12
182,14
183,7
184,15
185,7
186,7
187,10
188,11
189,4
190,11
191,11
192,10
193,9
194,2
195,10
196,11
197,1
198,7
199,10
200,10
201,12
202,10
203,12
204,6
205,7
206,10
207,7
208,8
209,11
210,9
211,8
212,11
213,12
214,10
215,12
216,11
217,11
218,12
219,12
220,11
221,11
222,12
223,11
224,4
225,4
226,11
227,15
228,14
229,12
230,15
231,15
232,15
233,14
234,8
235,13
236,13
237,5
238,15
239,13
240,15
241,13
242,15
243,15
244,14
245,15
246,15
247,15
248,13
249,14
250,3
251,9
252,1
253,1
254,14
255,9
256,12
257,11
258,11
259,13
260,12
261,12
262,13
263,12
264,14
265,13
266,5
267,8
268,6
269,5
270,4
271,5
272,8
273,7
274,1
275,6
276,4
277,9
278,4
279,6
280,12
281,7
282,10
283,10
284,10
285,13
286,10
287,2
288,13
289,8
290,9
291,9
292,10
293,9
294,8
295,10
296,13
297,10
298,5
299,9
300,10
301,5
302,1
303,7
304,10
305,13
306,13
307,10
308,10
309,10
310,10
311,10
312,10
313,5
314,10
315,3
316,11
317,3
318,11
319,4
320,3
321,11
322,9
323,8
324,1
325,1
326,1
327,11
328,15
329,11
330,10
331,11
332,8
333,13
334,11
335,6
336,10
337,6
338,8
339,11
340,11
341,12
342,11
343,8
344,9
345,10
346,11
347,5
348,13
349,10
350,4
351,11
352,13
353,15
354,8
355,10
356,13
357,15
358,13
359,11
360,15
361,15
362,15
363,14
364,8
365,7
366,10
367,8
368,8
369,5
370,8
371,8
372,10
373,13
374,11
375,2
376,2
377,2
378,9
379,11
380,10
381,10
382,4
383,2
384,5
385,12
386,12
387,12
388,11
389,11
390,8
391,8
392,10
393,9
394,10
395,10
396,10
397,8
398,11
399,14
400,14
401,13
402,2
403,3
404,3
405,9
406,11
407,11
408,9
409,5
410,7
411,6
412,10
413,6
414,12
415,12
416,3
417,9
418,11
419,10
420,13
421,8
422,10
423,8
424,13
425,8
426,11
427,14
428,11
429,9
430,7
431,10
432,6
433,15
434,12
435,13
436,6
437,14
438,15
439,14
440,15
441,15
442,15
443,15
444,15
445,15
446,12
447,15
448,15
449,15
450,15
451,15
452,15
453,1
454,1
455,8
456,9
457,8
458,8
459,8
460,8
461,9
462,8
463,15
464,15
465,15
466,13
467,10
468,15
469,15
470,15
471,11
472,13
473,15
474,13
475,15
476,14
477,15
478,14
479,15
480,15
481,15
482,14
483,13
484,14
485,14
486,15
487,9
488,15
489,11
490,5
491,15
492,4
493,9
494,10
495,12
496,3
497,2
498,5
499,11
500,4
501,5
502,11
503,13
504,13
505,12
506,11
507,13
508,11
509,10
510,12
511,11
512,1
513,5
514,3
515,5
516,9
517,9
518,6
519,7
520,10
521,12
522,6
523,5
524,6
525,10
526,3
527,14
528,1
529,3
530,4
531,4
532,4
533,4
534,2
535,4
536,10
537,9
538,8
539,10
540,10
541,10
542,15
543,11
544,15
545,4
546,11
547,6
548,11
549,12
550,14
551,14
552,13
553,7
554,15
555,7
556,6
557,11
558,6
559,6
560,10
561,10
562,6
563,8
564,13
565,13
566,10
567,15
568,14
569,11
570,13
571,15
572,6
573,8
574,12
575,9
576,9
577,9
578,11
579,1
580,6
581,6
582,10
583,11
584,11
585,6
586,8
587,5
588,8
589,8
590,5
591,8
592,7
593,8
594,8
595,13
596,13
597,13
598,13
599,13
600,13
601,13
602,2
603,7
604,2
605,3
606,11
